Company Name,Blurb,Company Link,Founders,LinkedIn Links,Founded,Team Size,Location
Enode,"An API for electric vehicles and
                            other energy hardware (DERs)",https://www.ycombinator.com/companies/enode,"['Henrik Langeland', 'Nikolai Heum', 'Thorvald Thorsnes']","['https://www.linkedin.com/company/enode-io', 'https://www.linkedin.com/in/henriklangeland/', 'https://www.linkedin.com/in/nikolaiheum/', 'https://www.linkedin.com/in/thorvald-thorsnes-26300235/']",2020,40,"Oslo, Norway"
Aurabeat,"Providing clean, safe, virus free air
                            for homes, buildings and cars",https://www.ycombinator.com/companies/aurabeat,"['Phil Yuen', 'Roger Sze To']","['https://www.linkedin.com/company/aurabeat-technology-limited/', 'https://www.linkedin.com/in/philipyuen/', 'https://www.linkedin.com/in/rogerszeto/']",2017,12,"Hong Kong, Hong Kong"
Remora,Carbon capture for semi-trucks,https://www.ycombinator.com/companies/remora,['Paul Gross'],"['https://www.linkedin.com/company/remoracarbon/', 'https://www.linkedin.com/in/paulagross/']",2020,45,"Detroit, MI"
Gridware,"Hardware + software to detect
                            powerline failure and prevent wildfires.",https://www.ycombinator.com/companies/gridware,"['Tim Barat', 'Abdulrahman Bin Omar', 'Hall Chen']","['https://www.linkedin.com/company/gridwareinc', 'https://www.linkedin.com/in/timothybarat/', 'https://www.linkedin.com/in/abdulrahman-bin-omar-42330bb2/', 'https://www.linkedin.com/in/hallchen/']",2020,14,"Walnut Creek, CA"
Noya,"Radically reducing capital costs and
                            build time for direct air capture",https://www.ycombinator.com/companies/noya,"['Josh Santos', 'Daniel Cavero']","['https://www.linkedin.com/company/noya-carbon', 'https://www.linkedin.com/in/joshisantos/', 'https://www.linkedin.com/in/caverodaniel/']",2020,12,San Francisco
CarbonChain,"We help companies automate the
                            accounting of their carbon emissions",https://www.ycombinator.com/companies/carbonchain,"['Adam Hearne', 'ROHEET SHAH']","['https://www.linkedin.com/company/carbonchain-io/', 'https://www.linkedin.com/in/adamhearne/', 'https://www.linkedin.com/in/roheetshah/']",2020,16,"London, United Kingdom"
Minimum,"Helping corporates achieve Net Zero
                            through tech solutions.",https://www.ycombinator.com/companies/minimum,"['Freddie Evans', 'Chris Winchurch', 'Freddie Green']","['https://www.linkedin.com/company/minimumeco', 'https://www.linkedin.com/in/freddie-evans-ab110b63/', 'https://www.linkedin.com/in/chris-winchurch/', 'https://www.linkedin.com/in/freddie-green-4a235a80/']",2020,,"London, United Kingdom"
Statiq.,India's Largest EV charging network,https://www.ycombinator.com/companies/statiq,"['Akshit Bansal', 'Raghav Arora']","['https://www.linkedin.com/company/statiqcharge', 'https://www.linkedin.com/in/akshit-bansal7/', 'https://www.linkedin.com/in/raghav-arora-ab5087192/']",2020,200,"Gurugram, India"
"Zitara Technologies, Inc.","Predictive battery management
                            software for electrified fleets",https://www.ycombinator.com/companies/zitara-technologies-inc,"['Shyam Srinivasan', 'Evan Murphy']","['https://www.linkedin.com/company/78458532/admin/', 'https://www.linkedin.com/in/shyam-srinivasan-1a10b944/', 'https://www.linkedin.com/in/evan-murphy-swdev/']",2019,33,San Francisco
Airthium,"Decarbonized heat and power cheaper
                            than fossil fuels",https://www.ycombinator.com/companies/airthium,"['Andrei Klochko', 'Franck Lahaye']","['https://linkedin.com/company/airthium', 'https://www.linkedin.com/in/andrei-klochko-20093224/?locale=en_US', 'https://www.linkedin.com/in/francklahaye']",2016,12,"Paris, France"
Advano,"Advano is a battery technology
                            company that improve the longevity of…",https://www.ycombinator.com/companies/advano,['Shiva Adireddy'],"['https://www.linkedin.com/company/advano/', 'https://www.linkedin.com/in/shiva-adireddy-5aab1850']",2017,25,"New Orleans, LA"
BuyPower,"Modern bill payment platform for
                            African businesses and consumers.",https://www.ycombinator.com/companies/buypower,"['OJIMA BENJAMIN UFARUNA', 'Asehinde Oladipo']","['https://www.linkedin.com/company/buypower-inc/', 'https://www.linkedin.com/in/ojima-benjamin-ufaruna-16a47714', 'https://www.linkedin.com/in/oladipo-asehinde-49581b137']",2016,115,Nigeria
Living Carbon,"Plants that capture and store more
                            carbon.",https://www.ycombinator.com/companies/living-carbon,"['Maddie Hall', 'Patrick Mellor']","['https://www.linkedin.com/company/living-carbon', 'https://www.linkedin.com/in/maddie-hall-76293135/', 'https://www.linkedin.com/in/patrick-mellor-1924681a6']",2019,40,"Charleston, SC"
PowerX,"AI powered sensors that save energy,
                            water and emissions",https://www.ycombinator.com/companies/powerx,['Manuel Schoenfeld'],['https://www.linkedin.com/in/manuelschoenfeld/'],2020,20,New York
SINAI,"Enterprise software to quantify
                            cost-effective decarbonization…",https://www.ycombinator.com/companies/sinai,"['Maria Fujihara', 'Alain Rodriguez']","['https://www.linkedin.com/company/sinai-technologies-inc/', 'https://www.linkedin.com/in/mariafujihara', 'https://www.linkedin.com/in/alainrodriguez/']",2017,50,San Francisco
